CLOSEDATE,MRR,ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,id
2019-06-20,290.0,309343,201 to 1000,Other,199
2019-03-22,392.54,16000001,51 to 200,Unknown,147
2020-01-08,300.0,60502,1001 to 10000,Education,118
2019-09-19,400.0,3575321,201 to 1000,CONSUMER_SERVICES,126
2019-01-27,209.98,273063,26 to 50,Technology - Software,174
2019-02-28,300.0,1411013,26 to 50,Technology - Software,141
2019-12-04,300.0,16000001,2 to 5,Unknown,197
2020-02-27,342.85,2392953,201 to 1000,FINANCIAL_SERVICES,39
2020-04-20,375.0,1256632,6 to 10,Technology - Software,32
2019-10-24,98.14,3345997,26 to 50,Unknown,193
2019-09-06,514.29,3662990,51 to 200,Marketing and Advertising,178
2020-07-15,280.0,2432901,26 to 50,Technology - Software,67
2020-04-27,333.33,2151767,6 to 10,Unknown,116
2019-02-26,294.4,917585,201 to 1000,Unknown,85
2019-07-25,560.0,16000001,26 to 50,Unknown,54
2019-05-21,960.0,442523,26 to 50,Technology - Software,187
2019-03-26,392.54,2008009,"10,001 or more",BUILDING_MATERIALS,183
2019-01-31,369.6,16000001,6 to 10,Unknown,191
2019-01-30,400.0,16000001,11 to 25,Unknown,25
2019-08-13,300.0,7826,26 to 50,E_LEARNING,3
2019-10-30,203.33,1074858,6 to 10,Unknown,89
2019-10-16,619.74,16000001,6 to 10,Technology - Software,135
2020-02-26,400.0,4399993,51 to 200,Unknown,19
2019-03-19,200.0,7838618,6 to 10,Unknown,104
2020-01-31,560.0,84533,51 to 200,Technology - Services,88
2019-04-30,208.0,356092,201 to 1000,REAL_ESTATE,34
2020-05-11,132.0,16000001,201 to 1000,Unknown,146
2020-04-01,50.0,235658,11 to 25,Unknown,26
2019-08-05,39.26,16000001,6 to 10,Unknown,142
2019-07-15,887.04,16000001,201 to 1000,Unknown,167
2020-07-16,685.71,1128244,26 to 50,Unknown,132
2019-01-30,200.0,5483471,2 to 5,Unknown,162
2020-02-08,216.54,16000001,2 to 5,Unknown,55
2020-02-17,500.0,16000001,2 to 5,Unknown,4
2019-09-19,368.0,16000001,6 to 10,Unknown,5
